299.457, 129.819, 5.767,  6.650 False
299.167, 129.835, 5.818,  6.700 False
298.875, 129.852, 5.867,  6.750 False
298.580, 129.870, 5.917,  6.800 False
298.283, 129.887, 5.965,  6.850 False
297.984, 129.905, 6.013,  6.900 False
297.683, 129.923, 6.059,  6.950 False
297.379, 129.941, 6.107,  7.000 False
297.072, 129.959, 6.152,  7.050 False
296.764, 129.977, 6.199,  7.100 False
296.453, 129.996, 6.243,  7.150 False
296.140, 130.015, 6.290,  7.200 False
295.824, 130.034, 6.334,  7.250 False
295.507, 130.053, 6.380,  7.300 False
295.187, 130.072, 6.423,  7.350 False
294.865, 130.091, 6.469,  7.400 False
294.541, 130.111, 6.511,  7.450 False
294.214, 130.131, 6.557,  7.500 False
293.885, 130.151, 6.599,  7.550 False
293.555, 130.171, 6.645,  7.600 False
293.222, 130.191, 6.687,  7.650 False
292.886, 130.211, 6.733,  7.700 False
292.549, 130.231, 6.775,  7.750 False
292.209, 130.252, 6.819,  7.800 False
291.868, 130.272, 6.860,  7.850 False
291.524, 130.293, 6.904,  7.900 False
291.178, 130.313, 6.944,  7.950 False
290.830, 130.335, 6.987,  8.000 False
290.480, 130.358, 7.027,  8.050 False
290.128, 130.380, 7.070,  8.100 False
289.774, 130.401, 7.111,  8.150 False
289.417, 130.423, 7.155,  8.200 False
289.059, 130.445, 7.195,  8.250 False
288.698, 130.467, 7.238,  8.300 False
288.336, 130.489, 7.278,  8.350 False
287.971, 130.510, 7.322,  8.400 False
287.604, 130.532, 7.362,  8.450 False
287.235, 130.554, 7.406,  8.500 False
286.864, 130.575, 7.446,  8.550 False
286.491, 130.597, 7.490,  8.600 False
286.116, 130.619, 7.531,  8.650 False
285.738, 130.640, 7.574,  8.700 False
285.359, 130.661, 7.615,  8.750 False
284.977, 130.683, 7.658,  8.800 False
284.594, 130.704, 7.697,  8.850 False
284.208, 130.723, 7.739,  8.900 False
283.820, 130.741, 7.779,  8.950 False
283.430, 130.759, 7.822,  9.000 False
283.038, 130.775, 7.863,  9.050 False
282.644, 130.788, 7.905,  9.100 False
282.247, 130.800, 7.947,  9.150 False
281.848, 130.809, 7.990,  9.200 False
281.448, 130.818, 8.032,  9.250 False
281.045, 130.826, 8.076,  9.300 False
280.640, 130.835, 8.118,  9.350 False
280.232, 130.843, 8.161,  9.400 False
279.823, 130.850, 8.202,  9.450 False
279.411, 130.856, 8.245,  9.500 False
278.998, 130.862, 8.276,  9.550 False
278.584, 130.868, 8.297,  9.600 False
278.169, 130.873, 8.309,  9.650 False
277.753, 130.877, 8.318,  9.700 False
277.337, 130.880, 8.325,  9.750 False
276.921, 130.882, 8.330,  9.800 False
276.505, 130.884, 8.335,  9.850 False
276.088, 130.884, 8.339,  9.900 False
275.671, 130.884, 8.342,  9.950 False
275.254, 130.883, 8.345, 10.000 False
274.837, 130.882, 8.348, 10.050 False
274.419, 130.880, 8.349, 10.100 False
274.002, 130.878, 8.351, 10.150 False
273.585, 130.876, 8.352, 10.200 False
273.167, 130.873, 8.353, 10.250 False
272.749, 130.869, 8.353, 10.300 False
272.332, 130.865, 8.354, 10.350 False
271.914, 130.860, 8.354, 10.400 False
271.497, 130.855, 8.354, 10.450 False
271.079, 130.848, 8.354, 10.500 False
270.661, 130.841, 8.354, 10.550 False
270.244, 130.835, 8.354, 10.600 False
269.826, 130.826, 8.354, 10.650 False
269.409, 130.817, 8.354, 10.700 False
268.991, 130.807, 8.354, 10.750 False
268.573, 130.798, 8.353, 10.800 False
268.156, 130.788, 8.353, 10.850 False
267.738, 130.778, 8.353, 10.900 False
267.321, 130.768, 8.352, 10.950 False
266.904, 130.755, 8.351, 11.000 False
266.486, 130.743, 8.351, 11.050 False
266.069, 130.731, 8.351, 11.100 False
265.652, 130.717, 8.350, 11.150 False
265.234, 130.703, 8.350, 11.200 False
264.817, 130.689, 8.349, 11.250 False
264.400, 130.675, 8.349, 11.300 False
263.983, 130.661, 8.348, 11.350 False
263.566, 130.646, 8.348, 11.400 False
263.149, 130.631, 8.348, 11.450 False
262.731, 130.616, 8.347, 11.500 False
262.314, 130.601, 8.347, 11.550 False
261.897, 130.586, 8.346, 11.600 False
261.480, 130.570, 8.346, 11.650 False
261.063, 130.555, 8.345, 11.700 False
260.646, 130.539, 8.345, 11.750 False
260.230, 130.522, 8.344, 11.800 False
259.813, 130.506, 8.344, 11.850 False
259.396, 130.490, 8.344, 11.900 False
258.979, 130.473, 8.343, 11.950 False
258.562, 130.457, 8.343, 12.000 False
258.145, 130.440, 8.343, 12.050 False
257.729, 130.423, 8.342, 12.100 False
257.312, 130.406, 8.342, 12.150 False
256.895, 130.389, 8.342, 12.200 False
256.478, 130.371, 8.341, 12.250 False
256.062, 130.354, 8.341, 12.300 False
255.645, 130.337, 8.341, 12.350 False
255.228, 130.319, 8.340, 12.400 False
254.812, 130.302, 8.340, 12.450 False
254.395, 130.284, 8.340, 12.500 False
253.978, 130.267, 8.340, 12.550 False
253.562, 130.249, 8.339, 12.600 False
253.145, 130.231, 8.339, 12.650 False
252.729, 130.213, 8.339, 12.700 False
252.312, 130.196, 8.339, 12.750 False
251.895, 130.178, 8.339, 12.800 False
251.479, 130.160, 8.338, 12.850 False
251.062, 130.142, 8.338, 12.900 False
250.646, 130.124, 8.338, 12.950 False
250.229, 130.107, 8.338, 13.000 False
249.813, 130.089, 8.338, 13.050 False
249.396, 130.071, 8.337, 13.100 False
248.980, 130.053, 8.337, 13.150 False
248.563, 130.036, 8.337, 13.200 False
248.147, 130.018, 8.337, 13.250 False
247.730, 130.000, 8.337, 13.300 False
247.314, 129.983, 8.337, 13.350 False
246.897, 129.965, 8.337, 13.400 False
246.481, 129.948, 8.336, 13.450 False
246.065, 129.930, 8.336, 13.500 False
245.648, 129.913, 8.336, 13.550 False
245.232, 129.896, 8.336, 13.600 False
244.815, 129.879, 8.336, 13.650 False
244.399, 129.862, 8.336, 13.700 False
243.982, 129.845, 8.336, 13.750 False
243.566, 129.828, 8.336, 13.800 False
243.150, 129.811, 8.335, 13.850 False
242.733, 129.795, 8.335, 13.900 False
242.317, 129.778, 8.335, 13.950 False
241.900, 129.762, 8.335, 14.000 False
241.484, 129.746, 8.335, 14.050 False
